Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Profit growth,Profit growth 3Years,Sales growth,Sales growth 3Years,Return on capital employed,Average return on capital employed 3Years,rocev2,epsgeni,gordanIV,discount2,discount1,geniscore1,momentumscore,CashFlow,master score,epsgrowthbydiscount,epsgrowthbydiscount2,epsgrowthbyprice2,accumulation,roicreinv,Return over 1week,Return over 1month,Return over 3months,volumeincr,rsiincr,equityreduce,debtgeni,epsgrowth,Canslim,capacity expansion,BSchklist,cyclicaltriggers,margin,garp,fundamental value,Volume,Volume 1week average,Volume 1month average,debtreduce,npmargin,opmargin,pubholdingdecr,Quarterly Growers,YOY Quarterly sales growth,YOY Quarterly profit growth,Price to Earning,Promoter holding,Change in promoter holding,Industry PE,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Market Capitalization
Elecon Engg.Co,505700,ELECON,INE205B01031,Electrical Equipment,Heavy Electrical Equipment,391.90,11.13,42.06,21.26,22.48,28.46,28.23,0.85,1.03,0.11,0.38,0.17,3.80,0,0.20,7,0.09,0.31,0.86,0,0.00,-7.47,-16.85,-27.61,0,0,0,3,0.80,0,0,6,2,0.04,1,0,971508,2146324,2330634,1,-0.08,0.12,0,0,4.32,-33.06,21.26,59.27,0.00,45.52,487.09,540.45,490.97,541.94,8794.23
Expleo Solutions,533121,EXPLEOSOL,INE201K01015,IT - Services,IT Enabled Services,952.95,-4.65,14.46,3.80,11.34,21.47,26.93,0.61,3.00,0.10,0.46,0.32,7.10,0,0.57,8,0.54,0.82,1.78,0,0.00,-0.51,-8.48,-5.42,0,0,0,3,1.78,0,0,6,3,0.19,0,0,8184,9303,14382,1,0.18,0.20,0,0,9.04,12.03,14.21,71.05,0.00,29.42,1004.28,1060.81,1006.37,1061.89,1478.95
Fiem Industries,532768,FIEMIND,INE737H01014,Auto Components,Auto Components & Equipments,2180.60,20.68,28.97,16.64,15.50,27.80,27.02,0.78,3.01,0.07,0.27,-0.30,5.11,0,0.24,7,-0.27,0.30,1.14,0,0.00,-2.25,-6.66,12.77,0,0,0,3,1.12,0,0,7,2,0.06,0,0,57676,69063,67566,1,0.03,0.08,0,0,16.82,26.91,25.60,54.52,0.00,28.64,2243.54,1989.32,2246.10,1987.40,5739.27
Fluidomat,522017,,INE459C01016,Industrial Manufacturing,Industrial Products,691.45,12.58,61.86,5.58,29.30,42.24,34.25,1.28,2.03,0.13,0.40,0.20,7.53,1,1.07,9,0.29,0.66,1.66,0,0.00,-1.25,-2.01,-24.84,0,0,0,4,1.64,0,1,,3,0.27,0,0,2809,2772,3533,2,0.20,0.32,0,0,-13.68,-21.56,17.63,53.45,0.00,32.05,755.99,863.29,758.62,865.01,340.88
Gabriel India,505714,GABRIEL,INE524A01029,Auto Components,Auto Components & Equipments,920.30,12.44,32.74,12.86,16.04,26.14,24.79,0.70,3.00,0.03,0.21,-2.05,0.75,0,0.07,8,0.00,0.23,1.15,0,0.00,-5.73,-15.37,-25.51,0,0,0,2,1.09,0,0,6,3,0.04,0,0,300448,296160,372245,0,0.03,0.05,1,1,15.38,15.11,58.93,55.00,0.00,28.64,1043.13,959.04,1048.15,959.43,13219.55
Gamco Ltd,540097,,INE890S01026,Finance,Other Financial Services,39.02,-135.28,266.69,-13.75,39.63,6.98,10.19,0.20,-0.12,-0.21,,,,0,0.01,,,,-0.15,0,0.00,2.77,-2.45,-5.47,0,0,0,0,-0.55,0,1,5,3,-0.37,0,0,40691,37736,45449,0,-0.64,-0.19,0,0,285.71,-178.77,,70.74,0.17,27.52,40.03,40.05,40.08,40.06,210.83
Gandhi Spl. Tube,513108,GANDHITUBE,INE524B01027,Industrial Products,Iron & Steel Products,738.10,14.22,12.56,5.34,7.99,27.53,31.66,0.86,2.01,0.12,0.43,0.17,5.66,0,0.79,8,0.24,0.37,0.22,0,0.00,3.04,-1.19,-15.27,0,0,0,2,0.87,0,0,8,3,0.16,0,0,4137,3882,4433,0,0.03,0.25,0,0,-1.23,2.55,13.51,73.53,0.00,22.13,777.65,785.90,779.27,786.38,896.94
Ganesh Housing,526367,GANESHHOU,INE460C01014,Realty,"Residential, Commercial Projects",741.00,8.49,103.82,-8.37,35.82,44.02,37.30,1.48,2.06,0.21,0.57,0.50,7.21,0,0.21,10,0.52,0.64,1.14,0,0.00,-1.95,-7.17,-12.97,0,0,0,5,1.12,0,1,7,4,0.31,0,0,44959,67362,46358,2,0.09,0.46,0,0,-26.56,-31.80,11.73,73.06,0.00,33.22,803.07,889.37,805.61,890.86,6178.98
Gokul Agro,539725,GOKULAGRO,INE314T01033,Agricultural Food & other Products,Edible Oil,167.35,45.33,25.98,34.41,23.48,34.20,27.99,0.84,3.02,0.13,0.42,0.06,6.14,0,0.02,11,0.26,0.60,0.85,0,0.00,0.68,-10.85,-2.48,0,0,0,3,1.43,0,1,6,3,0.11,1,0,207525,241157,341080,1,0.15,0.07,0,1,38.01,41.51,16.80,74.24,0.57,25.47,181.65,167.51,182.24,167.51,4938.28
Hindustan Hardy,505893,,INE724D01011,Auto Components,Auto Components & Equipments,858.00,70.16,21.89,36.06,9.18,28.37,27.15,0.83,1.05,0.21,0.38,0.15,4.12,0,0.70,9,0.13,0.27,0.71,0,0.00,-1.39,-6.13,-24.15,0,0,0,1,0.70,0,1,5,3,0.01,0,0,370,473,588,0,0.00,0.02,0,0,27.16,0.00,14.66,66.16,0.00,28.64,939.75,983.75,943.09,985.01,128.70
Indiamart Inter.,542726,INDIAMART,INE933S01016,Retailing,Internet & Catalogue Retail,2289.00,24.90,21.08,13.36,22.60,34.24,25.65,0.91,1.01,0.07,0.26,-0.31,3.86,5,0.50,11,-0.16,0.16,0.08,1,0.34,6.69,1.10,-2.35,1,1,0,5,0.60,0,1,9,3,0.17,0,0,1265419,723029,211637,2,0.05,0.26,0,0,12.45,-38.79,25.57,49.17,0.00,30.36,2269.70,2379.69,2268.92,2380.60,13753.95
