Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Profit growth,Profit growth 3Years,Sales growth,Sales growth 3Years,Return on capital employed,Average return on capital employed 3Years,rocev2,epsgeni,gordanIV,discount2,discount1,geniscore1,momentumscore,CashFlow,master score,epsgrowthbydiscount,epsgrowthbydiscount2,epsgrowthbyprice2,accumulation,roicreinv,Return over 1week,Return over 1month,Return over 3months,volumeincr,rsiincr,equityreduce,debtgeni,epsgrowth,Canslim,capacity expansion,BSchklist,cyclicaltriggers,margin,garp,fundamental value,Volume,Volume 1week average,Volume 1month average,debtreduce,npmargin,opmargin,pubholdingdecr,Quarterly Growers,YOY Quarterly sales growth,YOY Quarterly profit growth,Price to Earning,Promoter holding,Change in promoter holding,Industry PE,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Market Capitalization
Sharda Motor,535602,SHARDAMOTR,INE597I01028,Auto Components,Auto Components & Equipments,850.60,-0.48,21.66,6.96,7.94,34.60,37.27,1.02,1.02,0.14,0.43,0.17,3.10,0,0.13,5,0.17,0.31,0.78,0,0.00,-6.29,-9.58,-19.17,0,0,0,2,0.74,0,0,5,2,0.04,0,0,37575,118496,42567,0,-0.03,0.09,0,0,10.67,-4.48,15.52,64.31,0.00,28.64,957.00,980.70,961.35,982.00,4883.10
Shilchar Tech.,531201,SHILCTECH,INE024F01011,Electrical Equipment,Other Electrical Equipment,3238.80,64.68,118.90,55.25,51.23,71.30,66.64,2.51,3.06,0.21,0.45,0.02,8.02,0,0.39,8,0.11,0.54,1.26,0,0.00,-4.57,-16.47,-26.33,0,0,0,4,1.20,0,0,8,1,0.11,1,0,34551,62164,27787,2,0.03,0.16,0,0,31.19,40.36,20.87,62.12,-1.89,28.08,3910.97,4340.04,3938.40,4351.11,3705.25
Swaraj Engines,500407,SWARAJENG,INE277A01016,Industrial Products,"Compressors, Pumps & Diesel Engines",3577.80,21.77,15.09,21.33,13.90,56.21,54.36,1.79,2.01,0.09,0.28,-0.37,6.44,2,0.91,8,-0.15,0.26,0.92,0,0.00,-1.17,0.27,-9.59,1,0,0,3,0.90,0,0,5,2,0.05,0,0,119081,37583,16179,1,0.01,0.08,1,0,36.96,39.50,22.92,52.12,0.00,38.23,3736.99,3807.56,3743.49,3809.86,4346.98
Tanla Platforms,532790,TANLA,INE483C01032,IT - Software,Software Products,462.75,-11.53,-2.02,3.31,7.90,29.19,35.14,0.92,1.02,0.14,0.46,1.28,5.35,0,0.22,11,0.41,0.45,1.05,0,0.00,-8.16,-17.99,-31.40,0,0,1,3,0.97,0,1,6,3,0.03,0,0,1107482,562778,380303,1,-0.07,0.10,0,1,7.77,-3.96,12.80,46.17,0.68,43.08,552.62,612.13,556.29,613.63,6136.87
Tata Motors PVeh,500570,TMPV,INE155A01022,Automobiles,Passenger Cars & Utility Vehicles,353.60,-59.49,65.13,-6.72,16.45,19.97,15.12,0.70,2.32,1.34,0.85,0.78,7.00,0,0.13,6,9.71,13.58,16.05,0,0.00,-0.16,2.26,-10.84,0,0,0,3,16.03,0,0,4,2,-0.46,0,0,12374200,10119460,14202987,2,-0.87,-0.19,0,0,-13.52,-214.83,9.64,42.57,0.00,33.81,366.59,402.33,367.12,402.82,130207.24
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,528.00,14.29,35.98,17.99,31.84,108.83,99.95,4.35,3.01,0.09,0.25,-2.45,9.20,1,0.82,8,0.00,0.30,0.95,1,0.00,0.23,-0.98,3.05,0,0,0,4,1.17,0,0,9,2,0.26,0,0,187827,163671,138560,1,0.02,0.42,0,1,10.68,10.44,38.82,64.15,0.00,40.64,534.14,579.21,534.40,579.72,6749.51
Uni Abex Alloy,504605,,INE361D01012,Industrial Products,Iron & Steel Products,3080.15,17.39,39.60,16.66,12.21,31.90,34.98,1.02,2.03,0.12,0.31,-0.07,12.89,2,4.53,10,-0.04,0.57,1.74,1,0.00,0.05,-0.91,-9.81,0,0,0,4,1.83,0,0,6,3,0.13,0,0,896,629,396,2,0.02,0.20,0,0,19.70,33.49,17.54,63.62,0.00,22.13,3211.38,3135.36,3216.73,3135.91,608.33
VLS Finance,511333,VLSFINANCE,INE709A01018,Finance,Investment Company,283.10,-106.49,-39.64,-99.38,-24.23,2.15,6.08,0.06,0.00,-0.02,,,,0,12.64,,,,0.10,0,0.00,-0.79,-4.82,33.59,0,0,1,4,0.10,0,1,10,4,-2.03,0,0,9230,30416,52486,2,-0.21,-3.24,0,0,-86.70,-86.11,,52.02,0.00,30.57,281.85,261.64,281.80,261.43,888.33
Waaree Renewab.,534618,WAAREERTL,INE299N01021,Electrical Equipment,Other Electrical Equipment,941.15,124.91,197.14,94.02,114.67,82.31,88.67,3.05,3.07,0.22,0.41,-0.34,6.94,4,0.29,13,-0.11,0.48,0.18,1,0.00,5.43,0.98,-25.88,1,0,0,2,1.16,0,1,5,2,0.01,1,0,3266756,2174414,662399,0,-0.08,0.07,1,1,136.18,124.67,23.39,74.39,0.00,28.08,1004.69,1071.85,1007.28,1073.17,9820.50
Wealth First Por,544536,WEALTH,INE658T01017,Finance,Other Financial Services,838.10,-37.62,23.25,-16.29,21.63,37.87,40.27,1.32,0.02,0.09,0.31,-0.25,4.58,0,0.81,8,-0.02,0.20,0.69,0,0.00,-6.56,-13.71,-29.07,0,0,0,5,0.65,0,0,9,3,0.20,0,0,3118,4238,2953,2,-0.12,0.41,0,0,5.43,-26.98,26.94,74.04,0.00,27.52,981.65,1083.80,987.50,1086.26,893.00
Welspun Corp,532144,WELCORP,INE191B01025,Industrial Products,Iron & Steel Products,736.85,60.74,39.84,-1.19,29.04,21.24,15.95,0.57,3.03,0.18,0.37,0.16,5.65,0,0.02,10,0.16,0.48,1.34,0,0.24,-2.24,-6.00,-11.15,0,0,0,4,1.31,0,1,5,3,0.17,0,0,384237,425875,505372,2,0.25,0.12,0,0,32.46,48.67,10.96,49.77,-0.07,22.13,812.72,830.98,815.82,831.93,19437.41
WPIL,505872,,INE765D01022,Industrial Manufacturing,Industrial Products,394.20,-51.25,10.54,-6.26,15.22,15.56,20.10,0.38,1.00,0.04,0.03,-0.69,0.54,1,-0.09,5,-0.66,0.04,0.66,1,0.00,1.27,-5.35,-11.27,0,0,0,2,1.50,0,0,6,1,-0.01,0,0,17836,28716,25472,0,-0.28,0.17,1,1,-13.21,-31.92,40.08,70.80,0.00,32.05,405.94,431.13,406.42,431.50,3850.18
